-22, -8, 3.50402
38, 64, 3.50402
-21, -8, 3.50402
-17, -18, 3.50402
13, -10, 3.50402
9, 4, 3.50402
-2, -17, 3.50402
-68, 29, 3.50402
4, 88, 3.50402
3, 10, 3.50402
-20, -3, 3.50402
-32, 26, 3.50402
-54, 24, 3.50402
5, -27, 3.50402
-20, -30, 3.50402
35, -24, 3.50402
11, -12, 3.50402
-5, 25, 3.50402
-11, 87, 3.50402
-14, -40, 3.50402
15, 38, 3.50402
27, 36, 3.50402
